Date,Oil,Gas
"Jan 04, 2013",92.74,3.233
"Jan 11, 2013",93.36,3.236
"Jan 18, 2013",94.54,3.254
"Jan 25, 2013",95.83,3.296
"Feb 01, 2013",97.44,3.471
"Feb 08, 2013",96.2,3.537
"Feb 15, 2013",96.94,3.69
"Feb 22, 2013",94.27,3.722
"Mar 01, 2013",92.25,3.698
"Mar 08, 2013",90.98,3.644
"Mar 15, 2013",92.72,3.633
"Mar 22, 2013",93,3.616
"Mar 29, 2013",96.24,3.572
"Apr 05, 2013",94.93,3.539
"Apr 12, 2013",93.4,3.469
"Apr 19, 2013",87.97,3.472
"Apr 26, 2013",91.2,3.455
"May 03, 2013",93.72,3.478
"May 10, 2013",96.17,3.543
"May 17, 2013",94.97,3.636
"May 24, 2013",95.11,3.601
"May 31, 2013",93.43,3.61
"Jun 07, 2013",94.26,3.619
"Jun 14, 2013",96.31,3.577
"Jun 21, 2013",96.71,3.498
"Jun 28, 2013",95.92,3.41
"Jul 05, 2013",100.51,3.413
"Jul 12, 2013",104.81,3.57
"Jul 19, 2013",106.98,3.612
"Jul 26, 2013",105.94,3.57
"Aug 02, 2013",105.5,3.566
"Aug 09, 2013",105.12,3.493
"Aug 16, 2013",106.92,3.496
"Aug 23, 2013",105.47,3.504
"Aug 30, 2013",108.3,3.575
"Sep 06, 2013",108.67,3.54
"Sep 13, 2013",108.26,3.475
"Sep 20, 2013",106.23,3.425
"Sep 27, 2013",103.06,3.354
"Oct 04, 2013",103.12,3.298
"Oct 11, 2013",102.63,3.296
"Oct 18, 2013",101.48,3.31
"Oct 25, 2013",97.77,3.235
"Nov 01, 2013",96.93,3.209
"Nov 08, 2013",94.32,3.133
"Nov 15, 2013",93.93,3.161
"Nov 22, 2013",94,3.241
"Nov 29, 2013",93.2,3.209
"Dec 06, 2013",96.42,3.208
"Dec 13, 2013",97.48,3.165
"Dec 20, 2013",98.12,3.198
"Dec 27, 2013",99.5,3.264
"Jan 03, 2014",96.78,3.261
"Jan 10, 2014",92.76,3.267
"Jan 17, 2014",93.38,3.24
"Jan 24, 2014",96.42,3.241
"Jan 31, 2014",97.24,3.243
"Feb 07, 2014",97.74,3.257
"Feb 14, 2014",100.2,3.326
"Feb 21, 2014",102.72,3.394
"Feb 28, 2014",102.45,3.421
"Mar 07, 2014",102.77,3.452
"Mar 14, 2014",99.25,3.489
"Mar 21, 2014",99.41,3.487
"Mar 28, 2014",100.4,3.521
"Apr 04, 2014",100.47,3.533
"Apr 11, 2014",102.75,3.581
"Apr 18, 2014",103.97,3.612
"Apr 25, 2014",102.1,3.635
"May 02, 2014",100.21,3.606
"May 09, 2014",100,3.597
"May 16, 2014",101.64,3.593
"May 23, 2014",103.44,3.607
"May 30, 2014",103.28,3.624
"Jun 06, 2014",102.58,3.61
"Jun 13, 2014",105.32,3.621
"Jun 20, 2014",106.58,3.639
"Jun 27, 2014",106.06,3.635
"Jul 04, 2014",104.81,3.605
"Jul 11, 2014",102.6,3.56
"Jul 18, 2014",101.68,3.523
"Jul 25, 2014",103.26,3.468
"Aug 01, 2014",99.79,3.449
"Aug 08, 2014",97.52,3.447
"Aug 15, 2014",97.19,3.408
"Aug 22, 2014",94.91,3.397
"Aug 29, 2014",94.32,3.41
"Sep 05, 2014",94.04,3.406
"Sep 12, 2014",92.44,3.352
"Sep 19, 2014",93.54,3.296
"Sep 26, 2014",92.39,3.304
"Oct 03, 2014",91.44,3.246
"Oct 10, 2014",87.62,3.147
"Oct 17, 2014",82.96,3.07
"Oct 24, 2014",81.83,3.016
"Oct 31, 2014",81.26,2.956
"Nov 07, 2014",78.24,2.907
"Nov 14, 2014",76.51,2.856
"Nov 21, 2014",75.38,2.781
"Nov 28, 2014",72.43,2.738
"Dec 05, 2014",67.18,2.634
"Dec 12, 2014",61.11,2.499
"Dec 19, 2014",55.79,2.341
"Dec 26, 2014",55.74,2.229
